riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs6465759-T	5.00E-07	-	NR	-	-	-	ZKSCAN1,AZGP1P1	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	1666512:57:00	35851147	Adewuyi EO
rs139290129-C	1.00E-07	-	NR	-	-	-	MARK4,GEMIN7-AS1,GEMIN7	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	751421:28:00	35851147	Adewuyi EO
rs6024927-T	2.00E-07	-	NR	-	-	-	GCNT7,FAM209A	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	942093:34:00	35851147	Adewuyi EO
rs3859570-C	2.00E-07	-	NR	-	-	-	SSBP4,LRRC25	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	306687:35:00	35851147	Adewuyi EO
rs17123293-G	6.00E-07	-	NR	-	-	-	PYGL,TRIM9	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	849533:33:00	35851147	Adewuyi EO
rs13399760-G	6.00E-07	-	NR	-	-	-	CNTNAP5	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	2070049:24:00	35851147	Adewuyi EO
rs773116-A	7.00E-07	-	NR	-	-	-	ERBB3	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	934884:55:00	35851147	Adewuyi EO
rs2343702-G	7.00E-07	-	NR	-	-	-	LINC02131,ADAMTS18	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	1291459:05:00	35851147	Adewuyi EO
rs113934205-A	7.00E-07	-	NR	-	-	-	ERCC1	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	757946:31:00	35851147	Adewuyi EO
rs117783785-G	7.00E-07	-	NR	-	-	-	MARK4,BLOC1S3	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	753284:29:00	35851147	Adewuyi EO
rs35135015-A	8.00E-07	-	NR	-	-	-	STMN4,MIR548H4	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	453129:44:00	35851147	Adewuyi EO
rs146264265-A	8.00E-07	-	NR	-	-	-	FLJ40194	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	820760:26:00	35851147	Adewuyi EO
rs12983940-G	8.00E-07	-	NR	-	-	-	GATAD2A	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	323446:02:00	35851147	Adewuyi EO
rs7154692-A	8.00E-07	-	NR	-	-	-	TC2N	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	1530759:40:00	35851147	Adewuyi EO
rs35385129-A	8.00E-07	-	NR	-	-	-	CEACAM16-AS1,PVR	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	744334:21:00	35851147	Adewuyi EO
rs148663018-G	8.00E-07	-	NR	-	-	-	CDK13	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	667614:58:00	35851147	Adewuyi EO
rs10105117-G	9.00E-07	-	NR	-	-	-	FAM135B	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	2305573:35:00	35851147	Adewuyi EO
rs77262239-G	9.00E-07	-	NR	-	-	-	RNA5SP459,TCF4	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	920363:13:00	35851147	Adewuyi EO
rs2840677-A	9.00E-07	-	NR	-	-	-	PDE4B	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	1097804:14:00	35851147	Adewuyi EO
rs4885712-G	9.00E-07	-	NR	-	-	-	SPRY2,LINC01080	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	1337768:41:00	35851147	Adewuyi EO
rs6698744-C	1.00E-06	-	NR	-	-	-	TFDP1P1,LINC01774	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	3484306:44:00	35851147	Adewuyi EO
rs71430765-G	1.00E-06	-	NR	-	-	-	RIN3	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	1541986:14:00	35851147	Adewuyi EO
rs12038685-T	1.00E-06	-	NR	-	-	-	LMX1A-AS1,LMX1A	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	2753610:00:00	35851147	Adewuyi EO
rs28534573-A	1.00E-06	-	NR	-	-	-	LINC00489	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	627011:40:00	35851147	Adewuyi EO
rs34815052-T	1.00E-06	-	NR	-	-	-	SOD1P2,SALL1	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	852165:30:00	35851147	Adewuyi EO
rs9896800-C	1.00E-06	-	NR	-	-	-	ABI3	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	820283:07:00	35851147	Adewuyi EO
rs10900828-T	1.00E-06	-	NR	-	-	-	LINC01843,RNU6-456P	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	2241681:43:00	35851147	Adewuyi EO
rs35021135-A	1.00E-06	-	NR	-	-	-	PDE4B	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	1098909:34:00	35851147	Adewuyi EO
rs72993680-G	1.00E-06	-	NR	-	-	-	GALNT13	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	2566794:25:00	35851147	Adewuyi EO
rs850522-G	1.00E-06	-	NR	-	-	-	FLJ40194	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	820665:17:00	35851147	Adewuyi EO
rs10490031-T	1.00E-06	-	NR	-	-	-	PID1	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	3818616:57:00	35851147	Adewuyi EO
rs2469204-G	1.00E-06	-	NR	-	-	-	RN7SL278P,RCN2	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	1282744:49:00	35851147	Adewuyi EO
rs79971615-T	1.00E-06	-	NR	-	-	-	ADGRB3	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	1148599:25:00	35851147	Adewuyi EO
rs11736765-A	1.00E-06	-	NR	-	-	-	RFPL4AP3,GBA3	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	391856:14:00	35851147	Adewuyi EO
rs116949260-T	1.00E-06	-	NR	-	-	-	THEM7P	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	538149:03:00	35851147	Adewuyi EO
rs11633890-T	1.00E-06	-	NR	-	-	-	CDIN1	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	611674:39:00	35851147	Adewuyi EO
rs2271960-C	1.00E-06	-	NR	-	-	-	TRAIP	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	830680:25:00	35851147	Adewuyi EO
rs13337451-A	1.00E-06	-	NR	-	-	-	IQCK	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	329733:05:00	35851147	Adewuyi EO
rs9425664-A	1.00E-06	-	NR	-	-	-	LINC01036	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	3121921:23:00	35851147	Adewuyi EO
rs2705608-A	1.00E-06	-	NR	-	-	-	SDK1	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	58676:54:00	35851147	Adewuyi EO
rs13161502-C	2.00E-06	-	NR	-	-	-	GALNT10	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	2571785:06:00	35851147	Adewuyi EO
rs2969211-G	2.00E-06	-	NR	-	-	-	SHISA6	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	192283:57:00	35851147	Adewuyi EO
rs1974701-T	2.00E-06	-	NR	-	-	-	SHISA6	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	191547:26:00	35851147	Adewuyi EO
rs9462027-A	2.00E-06	-	NR	-	-	-	BLTP3A	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	580497:04:00	35851147	Adewuyi EO
rs58696272-T	2.00E-06	-	NR	-	-	-	MIR4431,ASB3	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	882207:54:00	35851147	Adewuyi EO
rs149676605-C	2.00E-06	-	NR	-	-	-	TRIP6	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	1681137:17:00	35851147	Adewuyi EO
rs72874964-A	2.00E-06	-	NR	-	-	-	CABLES1	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	386423:09:00	35851147	Adewuyi EO
rs61702591-T	2.00E-06	-	NR	-	-	-	RPL17P31,ARFGEF1-DT	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	1123396:50:00	35851147	Adewuyi EO
rs1993638-C	2.00E-06	-	NR	-	-	-	LCORL	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	300177:20:00	35851147	Adewuyi EO
rs41295942-T	2.00E-06	-	NR	-	-	-	TFR2	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	1677023:48:00	35851147	Adewuyi EO
rs117077746-T	2.00E-06	-	NR	-	-	-	LINC01924,LINC01916	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	1074947:24:00	35851147	Adewuyi EO
rs79832570-C	2.00E-06	-	NR	-	-	-	SPATC1	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	2400721:39:00	35851147	Adewuyi EO
rs10950394-T	2.00E-06	-	NR	-	-	-	TMEM106B	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	203739:41:00	35851147	Adewuyi EO
rs1452213-T	2.00E-06	-	NR	-	-	-	ERC2	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	938927:41:00	35851147	Adewuyi EO
rs3009868-A	2.00E-07	-	NR	-	-	-	PDE4B	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	1098150:57:00	35851147	Adewuyi EO
rs2584662-C	8.00E-09	-	NR	-	-	-	PHB1,ZNF652-AS1	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	823235:45:00	35851147	Adewuyi EO
rs55650463-G	2.00E-07	-	NR	-	-	-	LINC01789,PPP1R2P5	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	1783643:38:00	35851147	Adewuyi EO
rs12058296-A	1.00E-08	-	NR	-	-	-	PDE4B	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	1098946:41:00	35851147	Adewuyi EO
rs7531270-A	3.00E-07	-	NR	-	-	-	PDE4B	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	1099135:08:00	35851147	Adewuyi EO
rs12561863-A	2.00E-08	-	NR	-	-	-	HNRNPA1P46,LINC01720	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	3182142:18:00	35851147	Adewuyi EO
rs4147104-A	3.00E-07	-	NR	-	-	-	CR1L	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	3461815:09:00	35851147	Adewuyi EO
rs11083749-T	3.00E-08	-	NR	-	-	-	NECTIN2	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	748033:08:00	35851147	Adewuyi EO
rs8067459-C	3.00E-08	-	NR	-	-	-	ZNF652-AS1	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	822796:11:00	35851147	Adewuyi EO
rs2503185-G	3.00E-08	-	NR	-	-	-	PDE4B	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	1099929:38:00	35851147	Adewuyi EO
rs76692930-T	4.00E-08	-	NR	-	-	-	PPP1R13L,ERCC2	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	756228:53:00	35851147	Adewuyi EO
rs545753812-G	5.00E-08	-	NR	-	-	-	POLR1G,ERCC1	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	756819:09:00	35851147	Adewuyi EO
rs17779809-A	4.00E-07	-	NR	-	-	-	LINC02497	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	520146:12:00	35851147	Adewuyi EO
rs7225787-C	6.00E-08	-	NR	-	-	-	ZNF652	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	822537:11:00	35851147	Adewuyi EO
rs7251460-T	4.00E-07	-	NR	-	-	-	RELB	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	750077:34:00	35851147	Adewuyi EO
rs4803766-A	8.00E-08	-	NR	-	-	-	NECTIN2	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	747817:31:00	35851147	Adewuyi EO
rs9831967-C	8.00E-08	-	NR	-	-	-	SEMA3F	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	836333:01:00	35851147	Adewuyi EO
rs67693285-G	4.00E-07	-	NR	-	-	-	ZNF689	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	510226:58:00	35851147	Adewuyi EO
rs12952749-A	9.00E-08	-	NR	-	-	-	FLJ40194	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	820788:44:00	35851147	Adewuyi EO
rs9749077-G	9.00E-08	-	NR	-	-	-	RELB	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	750209:43:00	35851147	Adewuyi EO
rs201269048-G	5.00E-07	-	NR	-	-	-	CLASRP	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	751199:55:00	35851147	Adewuyi EO
rs6125601-A	1.00E-07	-	NR	-	-	-	GLRXP1,LINC00489	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	626880:19:00	35851147	Adewuyi EO
rs111677930-G	5.00E-07	-	NR	-	-	-	CAMTA1	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	115490:16:00	35851147	Adewuyi EO
rs10929072-T	6.00E-07	-	NR	-	-	-	INPP5D	Alzheimer's disease or gastroesophageal reflux disease	Alzheimer disease,gastroesophageal reflux disease	-	GCST90134603	3886306:14:00	35851147	Adewuyi EO
rs56157503-?	2.00E-10	-	NR	-	-	-	PICALM,RNU6-560P	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	1435878:18:00	35589863	Gouveia C
rs561635564-?	2.00E-08	-	NR	-	-	-	RNU6-1229P,ERV3-1	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	1083634:10:00	35589863	Gouveia C
rs56201047-?	9.00E-09	-	NR	-	-	-	DHFRP5,FKBP1C	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	1043239:44:00	35589863	Gouveia C
rs56261258-?	5.00E-66	-	NR	-	-	-	CEACAM16-AS1,PVR	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	744124:42:00	35589863	Gouveia C
rs56394238-?	3.00E-91	-	NR	-	-	-	NECTIN2,BCAM	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	747225:59:00	35589863	Gouveia C
rs57465754-?	4.00E-64	-	NR	-	-	-	CLPTM1	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	749585:14:00	35589863	Gouveia C
rs57625058-?	2.00E-08	-	NR	-	-	-	ZZEF1	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	66870:39:00	35589863	Gouveia C
rs576381162-?	2.00E-08	-	NR	-	-	-	OPA3	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	759462:58:00	35589863	Gouveia C
rs57784658-?	1.00E-10	-	NR	-	-	-	NOVA2	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	765821:22:00	35589863	Gouveia C
rs582747-?	7.00E-43	-	NR	-	-	-	MARK4,BLOC1S3	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	753429:59:00	35589863	Gouveia C
rs58904316-?	2.00E-26	-	NR	1.24	-	[1.19-1.29]	TRIM48,OR4A6P	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	918759:14:00	35589863	Gouveia C
rs59239262-?	1.00E-08	-	NR	-	-	-	PSD3	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	314264:50:00	35589863	Gouveia C
rs59296552-?	2.00E-09	-	NR	-	-	-	EIF2S2P7,ACTG1P22	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	961078:54:00	35589863	Gouveia C
rs60137857-?	3.00E-14	-	NR	-	-	-	NUP160	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	796333:32:00	35589863	Gouveia C
rs602602-?	1.00E-13	-	NR	-	-	-	MINDY2,SNORD3P1	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	979428:44:00	35589863	Gouveia C
rs603964-?	1.00E-08	-	NR	-	-	-	MEI4,IRAK1BP1	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	1309669:55:00	35589863	Gouveia C
rs60659132-?	2.00E-08	-	NR	-	-	-	ULK4	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	693959:55:00	35589863	Gouveia C
rs6125601-?	2.00E-10	-	NR	-	-	-	GLRXP1,LINC00489	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	626880:19:00	35589863	Gouveia C
rs61813880-?	1.00E-09	-	NR	-	-	-	OLFM3,COL11A1	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	1713312:12:00	35589863	Gouveia C
rs61915439-?	8.00E-18	-	NR	1.29	-	[1.21-1.36]	OR4C9P,OR4C10P	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	807519:19:00	35589863	Gouveia C
rs61923796-?	5.00E-09	-	NR	-	-	-	DUX4L52,Y_RNA	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	1014015:16:00	35589863	Gouveia C
rs61942658-?	2.00E-08	-	NR	-	-	-	PPP1CC,RPL29P25	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	1847201:15:00	35589863	Gouveia C
rs61956096-?	9.00E-11	-	NR	-	-	-	CLIP1,ZCCHC8	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	2041116:07:00	35589863	Gouveia C
rs62047964-?	1.00E-13	-	NR	-	-	-	VAC14	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	1178283:31:00	35589863	Gouveia C
rs62049970-?	3.00E-11	-	NR	-	-	-	NFAT5	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	1160611:52:00	35589863	Gouveia C
rs6916381-?	1.00E-08	-	NR	-	-	-	RNA5SP208,RNU7-66P	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	1116326:14:00	35589863	Gouveia C
rs6925895-?	1.00E-08	-	NR	-	-	-	HMGN4,ABT1	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	442871:37:00	35589863	Gouveia C
rs6957404-?	8.00E-09	-	NR	-	-	-	MTATP6P21,STAG3L4	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	1122896:50:00	35589863	Gouveia C
rs6992925-?	8.00E-09	-	NR	-	-	-	STK3	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	1643741:21:00	35589863	Gouveia C
rs707122-?	1.00E-10	-	NR	-	-	-	RNU6-546P,LINC01876	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	2593543:40:00	35589863	Gouveia C
rs7079205-?	2.00E-10	-	NR	-	-	-	CUL2	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	583938:11:00	35589863	Gouveia C
rs7099541-?	5.00E-08	-	NR	-	-	-	CTNNA3	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	1114149:22:00	35589863	Gouveia C
rs71055224-?	3.00E-11	-	NR	-	-	-	HNRNPCP7,ZNF680P1	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	1074900:38:00	35589863	Gouveia C
rs7110210-?	5.00E-10	-	NR	-	-	-	LPXN	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	976227:51:00	35589863	Gouveia C
rs7130812-?	1.00E-08	-	NR	-	-	-	CSTPP1	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	783016:57:00	35589863	Gouveia C
rs71608363-?	7.00E-09	-	NR	-	-	-	PRSS12	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	1971772:24:00	35589863	Gouveia C
rs7163055-?	1.00E-08	-	NR	-	-	-	CCDC33	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	1237815:22:00	35589863	Gouveia C
rs717097-?	1.00E-20	-	NR	0.87	-	[0.85-0.9]	SLC4A9	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	2339368:05:00	35589863	Gouveia C
rs7190997-?	2.00E-12	-	NR	-	-	-	ITGAX	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	522630:17:00	35589863	Gouveia C
rs7226114-?	5.00E-08	-	NR	-	-	-	UBBP4	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	370028:42:00	35589863	Gouveia C
rs7249244-?	1.00E-14	-	NR	-	-	-	CEACAM16-AS1,BCL3	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	745726:21:00	35589863	Gouveia C
rs7251911-?	8.00E-29	-	NR	-	-	-	GEMIN7-AS1	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	751338:04:00	35589863	Gouveia C
rs7255151-?	3.00E-08	-	NR	-	-	-	ZNF45	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	732198:45:00	35589863	Gouveia C
rs7259620-?	3.00E-156	-	NR	-	-	-	APOE,TOMM40	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	748427:51:00	35589863	Gouveia C
rs72700870-?	8.00E-10	-	NR	-	-	-	ENSA,GOLPH3L	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	2510603:57:00	35589863	Gouveia C
rs72751690-?	2.00E-08	-	NR	-	-	-	CPEB1-AS1	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	1377544:56:00	35589863	Gouveia C
rs72779757-?	2.00E-08	-	NR	-	-	-	LINC02059,MIR4280HG	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	Alzheimer disease,polygenic risk score	-	GCST90132260	1449993:38:00	35589863	Gouveia C
